tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
2147555735,/discussion.aspx?g=posts&t=2147555735,Aricept(11),7,445,2147747305,['LC-FL'],"Wednesday, February 24, 2021 8:12 PM "
2147555790,/discussion.aspx?g=posts&t=2147555790,Mother Transitioning to Assisted Living/Memory Care,5,318,2147764126,['KatieN'],"Wednesday, February 24, 2021 7:25 PM "
2147552370,/discussion.aspx?g=posts&t=2147552370,Dealing with Hoarding during a Pandemic,14,2044,2147731816,['Wilted Daughter'],"Wednesday, February 24, 2021 5:00 PM "
2147555763,/discussion.aspx?g=posts&t=2147555763,Where’s Cobalt?,2,308,2147754116,['Quilting brings calm'],"Wednesday, February 24, 2021 4:17 PM "
2147555792,/discussion.aspx?g=posts&t=2147555792,Cognitive Tests - What Do the Results Really Mean?,12,470,2147588520,['JoanneRose'],"Wednesday, February 24, 2021 3:17 PM "
2147555128,/discussion.aspx?g=posts&t=2147555128,Safest Diapers Using Tape Or Velcro vs Pullups - Fall Risk Safety,5,387,2147754977,['Mr. Jones'],"Wednesday, February 24, 2021 2:02 PM "
2147555796,/discussion.aspx?g=posts&t=2147555796,When do you know it's time for MC?,8,409,2147757168,['Chris2337'],"Wednesday, February 24, 2021 11:59 AM "
2147555807,/discussion.aspx?g=posts&t=2147555807,delirium after hip fracture,2,110,2147722394,['Local Girl'],"Wednesday, February 24, 2021 10:50 AM "
2147555743,/discussion.aspx?g=posts&t=2147555743,Help with behaviors,4,451,2147763850,['MrsG7820'],"Wednesday, February 24, 2021 6:26 AM "
2147550617,/discussion.aspx?g=posts&t=2147550617,LO demanding constant undivided attention,2,1002,2147725458,['hillybean3015'],"Wednesday, February 24, 2021 4:28 AM "
2147552273,/discussion.aspx?g=posts&t=2147552273,I just want my grandma to be quiet for a little while,6,1185,2147741005,['Sunday87'],"Wednesday, February 24, 2021 4:28 AM "
2147555800,/discussion.aspx?g=posts&t=2147555800,reasonable fiblet?,4,171,2147745302,['DHVT'],"Wednesday, February 24, 2021 12:18 AM "
2147555804,/discussion.aspx?g=posts&t=2147555804,MC room necessities,3,153,2147725119,['Bass Man'],"Tuesday, February 23, 2021 9:12 PM "
2147555802,/discussion.aspx?g=posts&t=2147555802,NPH? going to Neurosurgeon,3,151,2147763444,['KayBug'],"Tuesday, February 23, 2021 8:38 PM "
2147555767,/discussion.aspx?g=posts&t=2147555767,Mom said she is done eating (cross post),13,501,2147756902,['Tross760'],"Tuesday, February 23, 2021 8:23 PM "
2147555744,/discussion.aspx?g=posts&t=2147555744,HOW TO CHOOSE CARE FACILITY AND XLNT WHAT TO DO DAY OF ADMISSION AND AFTER,1,227,2147484236,['Jo C.'],"Tuesday, February 23, 2021 4:19 PM "
2147555760,/discussion.aspx?g=posts&t=2147555760,Medicaid question from WV,7,249,2147740321,['DawnKJ'],"Tuesday, February 23, 2021 4:12 PM "
2147555773,/discussion.aspx?g=posts&t=2147555773,Giving Mom New Bank Card?,10,312,2147731816,['Wilted Daughter'],"Tuesday, February 23, 2021 2:43 PM "
